,id,date,price,sqft_lot,zipcode
12942,2019200220,2014-09-23,160000.0,8682,98003
12943,2019200220,2015-02-26,269000.0,8682,98003
13010,9211500620,2014-10-08,182700.0,6650,98023
13011,9211500620,2015-04-28,305000.0,6650,98023
13170,1523049207,2014-08-05,161000.0,8043,98168
13171,1523049207,2015-01-14,220000.0,8043,98168
13285,7167000040,2014-08-13,740000.0,199253,98010
13286,7167000040,2015-03-05,700000.0,199253,98010
13604,3185600040,2014-05-22,180000.0,4500,98055
13605,3185600040,2014-12-24,310000.0,4500,98055
13615,2023049218,2014-07-16,105500.0,7740,98148
13616,2023049218,2015-03-16,445000.0,7740,98148
13646,3432501415,2014-07-14,265000.0,8148,98155
13647,3432501415,2014-11-11,399000.0,8148,98155
13679,937000330,2014-12-24,157000.0,11530,98198
13680,937000330,2015-03-19,246500.0,11530,98198
13721,5332200530,2014-06-13,910000.0,4000,98112
13722,5332200530,2015-04-24,1020000.0,4000,98112
13743,1788900230,2014-07-22,86500.0,9480,98023
13744,1788900230,2015-04-03,199950.0,9480,98023
14207,1250201165,2014-11-21,441000.0,3600,98144
14208,1250201165,2015-03-17,474500.0,3600,98144
14294,3528000040,2014-10-01,1690000.0,224442,98053
14295,3528000040,2015-03-26,1800000.0,224442,98053
14353,3333002450,2014-07-08,165000.0,8050,98118
14354,3333002450,2015-01-22,490000.0,8050,98118
14470,3523069060,2014-11-07,290000.0,63597,98038
14471,3523069060,2015-04-01,415000.0,63597,98038
14560,1432400120,2014-11-11,165000.0,7690,98058
14561,1432400120,2015-05-08,255000.0,7690,98058
14841,324000530,2014-07-08,201500.0,5000,98116
14842,324000530,2015-03-23,459000.0,5000,98116
14968,6308000010,2014-12-08,585000.0,5089,98006
14969,6308000010,2015-04-23,585000.0,5089,98006
14979,4222310010,2014-12-26,152500.0,7350,98003
14980,4222310010,2015-04-20,267950.0,7350,98003
14987,7504021310,2014-05-06,525000.0,11985,98074
14988,7504021310,2014-12-04,745000.0,11985,98074
15132,7961500010,2014-08-06,245000.0,10794,98178
15133,7961500010,2015-03-04,520000.0,10794,98178
15142,6669020290,2014-10-23,169000.0,9775,98032
15143,6669020290,2015-03-04,279950.0,9775,98032
15185,9834200305,2014-07-16,350000.0,3876,98144
15186,9834200305,2015-02-10,615000.0,3876,98144
15263,2619920170,2014-10-01,772500.0,4290,98033
15264,2619920170,2014-12-19,765000.0,4290,98033
15285,705730280,2014-08-19,325000.0,5267,98038
15286,705730280,2015-04-21,335000.0,5267,98038
15351,7972000010,2014-05-20,120750.0,9628,98023
15352,7972000010,2014-10-21,195000.0,9628,98023
15454,4202400078,2015-01-28,175000.0,7000,98055
15455,4202400078,2015-04-28,335000.0,7000,98055
15554,2560801222,2014-06-18,180000.0,6350,98198
15555,2560801222,2014-11-13,309950.0,6350,98198
15593,3904100089,2014-08-01,190000.0,7370,98118
15594,3904100089,2015-03-18,300000.0,7370,98118
15642,7893805650,2014-05-05,210000.0,10200,98198
15643,7893805650,2015-03-13,475000.0,10200,98198
15787,2044500213,2014-06-17,310000.0,6000,98125
15788,2044500213,2015-01-26,449000.0,6000,98125
15796,7129304540,2014-12-20,133000.0,5600,98118
15797,7129304540,2015-05-14,440000.0,5600,98118
15986,2561340020,2014-08-04,325000.0,11096,98074
15987,2561340020,2015-02-17,500000.0,11096,98074
15998,5536100020,2014-12-15,987000.0,15788,98004
15999,5536100020,2015-05-12,1190000.0,15788,98004
16657,9250900104,2014-11-10,300000.0,8500,98133
16658,9250900104,2015-04-10,496000.0,8500,98133
16800,7200179,2014-10-16,150000.0,12750,98055
16801,7200179,2015-04-24,175000.0,12750,98055
17052,8651402750,2015-02-18,132825.0,5200,98042
17053,8651402750,2015-04-30,219950.0,5200,98042
17119,6143000020,2014-10-27,175000.0,17003,98001
17120,6143000020,2015-04-06,299000.0,17003,98001
17190,4139440480,2014-06-26,695000.0,12063,98006
17191,4139440480,2014-12-01,796500.0,12063,98006
17266,2473380920,2014-08-13,206325.0,10202,98058
17267,2473380920,2015-02-27,339000.0,10202,98058
17276,1974300020,2014-08-27,380000.0,11500,98034
17277,1974300020,2015-02-18,624900.0,11500,98034
17367,641900050,2014-08-19,335000.0,8817,98133
17368,641900050,2015-02-06,499950.0,8817,98133
17468,7387500235,2014-05-15,340000.0,8136,98106
17469,7387500235,2015-03-17,363000.0,8136,98106
17566,1423049019,2014-05-23,90000.0,7500,98178
17567,1423049019,2015-03-31,220000.0,7500,98178
17588,795000620,2014-09-24,115000.0,6250,98168
17589,795000620,2014-12-15,124000.0,6250,98168
17590,795000620,2015-03-11,157000.0,6250,98168
17749,1630700361,2014-06-27,530000.0,48351,98077
17750,1630700361,2015-04-09,583500.0,48351,98077
17837,6791200120,2014-09-23,480000.0,13362,98075
17838,6791200120,2015-04-07,515000.0,13362,98075
18219,6751300375,2014-07-02,415000.0,9030,98007
18220,6751300375,2014-10-16,522500.0,9030,98007
18549,7657000540,2014-09-02,165000.0,7980,98178
18550,7657000540,2015-03-04,260000.0,7980,98178
18688,3558900590,2014-11-25,360000.0,10080,98034
18689,3558900590,2015-03-24,692500.0,10080,98034
18690,8121100395,2014-06-24,425000.0,6180,98118
18691,8121100395,2015-03-11,645000.0,6180,98118
18747,3332000615,2014-10-20,310000.0,3740,98118
18748,3332000615,2015-04-22,389000.0,3740,98118
18976,7856400300,2014-07-02,1410000.0,9400,98006
18977,7856400300,2015-03-22,1510000.0,9400,98006
19194,1901600090,2014-06-26,359000.0,6654,98166
19195,1901600090,2015-04-26,390000.0,6654,98166
19320,6021500970,2014-05-28,345000.0,4000,98117
19321,6021500970,2015-04-07,874950.0,4000,98117
19536,643300040,2014-11-04,481000.0,9500,98006
19537,643300040,2015-03-13,719521.0,9500,98006
20037,8648900110,2014-05-05,555000.0,3211,98027
20038,8648900110,2014-08-26,555000.0,3211,98027
20164,7853400250,2014-06-04,610000.0,5260,98065
20165,7853400250,2015-02-19,645000.0,5260,98065
20596,2724049222,2014-08-02,163800.0,1092,98118
20597,2724049222,2014-12-01,220000.0,1092,98118
20653,8564860270,2014-07-08,449990.0,5539,98045
20654,8564860270,2015-03-30,502000.0,5539,98045
20763,6300000226,2014-06-26,240000.0,2171,98133
20764,6300000226,2015-05-04,380000.0,2171,98133
21564,7853420110,2014-10-03,594866.0,6000,98065
21565,7853420110,2015-05-04,625000.0,6000,98065
